导演,导演英文名,主要创作地区,导演风格关键词,作品类型,代表作,年份
阿巴斯·基亚罗斯塔米,Abbas Kiarostami,伊朗,远景留白；道路空间；纪录虚构交叠；开放结尾,真人电影,十段生命的律动,2002
阿巴斯·基亚罗斯塔米,Abbas Kiarostami,伊朗,远景留白；道路空间；纪录虚构交叠；开放结尾,真人电影,合法副本,2010
阿巴斯·基亚罗斯塔米,Abbas Kiarostami,伊朗,远景留白；道路空间；纪录虚构交叠；开放结尾,真人电影,如沐爱河,2012
萨米拉·马克马尔巴夫,Samira Makhmalbaf,伊朗,实景拍摄；非职业表演；荒凉地景；女性处境,真人电影,苹果,1998
萨米拉·马克马尔巴夫,Samira Makhmalbaf,伊朗,实景拍摄；非职业表演；荒凉地景；女性处境,真人电影,黑板,2000
萨米拉·马克马尔巴夫,Samira Makhmalbaf,伊朗,实景拍摄；非职业表演；荒凉地景；女性处境,真人电影,午后五点,2003
萨蒂亚吉特·雷伊,Satyajit Ray,印度,人文写实；自然光；音乐结构；细腻场面调度,真人电影,大地之歌,1955
萨蒂亚吉特·雷伊,Satyajit Ray,印度,人文写实；自然光；音乐结构；细腻场面调度,真人电影,大河之歌,1956
萨蒂亚吉特·雷伊,Satyajit Ray,印度,人文写实；自然光；音乐结构；细腻场面调度,真人电影,音乐室,1958
萨蒂亚吉特·雷伊,Satyajit Ray,印度,人文写实；自然光；音乐结构；细腻场面调度,真人电影,大树之歌,1959
萨蒂亚吉特·雷伊,Satyajit Ray,印度,人文写实；自然光；音乐结构；细腻场面调度,真人电影,女神,1960
萨蒂亚吉特·雷伊,Satyajit Ray,印度,人文写实；自然光；音乐结构；细腻场面调度,真人电影,大都会,1963
萨蒂亚吉特·雷伊,Satyajit Ray,印度,人文写实；自然光；音乐结构；细腻场面调度,真人电影,孤独的妻子,1964
萨蒂亚吉特·雷伊,Satyajit Ray,印度,人文写实；自然光；音乐结构；细腻场面调度,真人电影,森林中的日与夜,1970
萨蒂亚吉特·雷伊,Satyajit Ray,印度,人文写实；自然光；音乐结构；细腻场面调度,真人电影,棋手,1977
桑杰·里拉·彭萨里,Sanjay Leela Bhansali,印度,华丽布景；浓烈色彩；歌舞调度；仪式感,真人电影,何日君能知心,1999
桑杰·里拉·彭萨里,Sanjay Leela Bhansali,印度,华丽布景；浓烈色彩；歌舞调度；仪式感,真人电影,宝莱坞生死恋,2002
桑杰·里拉·彭萨里,Sanjay Leela Bhansali,印度,华丽布景；浓烈色彩；歌舞调度；仪式感,真人电影,黑色的风采,2005
桑杰·里拉·彭萨里,Sanjay Leela Bhansali,印度,华丽布景；浓烈色彩；歌舞调度；仪式感,真人电影,弹雨里的爱情,2013
桑杰·里拉·彭萨里,Sanjay Leela Bhansali,印度,华丽布景；浓烈色彩；歌舞调度；仪式感,真人电影,帝国双璧,2015
桑杰·里拉·彭萨里,Sanjay Leela Bhansali,印度,华丽布景；浓烈色彩；歌舞调度；仪式感,真人电影,帕德玛瓦蒂王后,2018
桑杰·里拉·彭萨里,Sanjay Leela Bhansali,印度,华丽布景；浓烈色彩；歌舞调度；仪式感,真人电影,甘古拜·卡蒂娅瓦迪,2022
努里·比格·锡兰,Nuri Bilge Ceylan,土耳其,风景长镜头；季节气候；静默人物；低照度空间,真人电影,远方,2002
努里·比格·锡兰,Nuri Bilge Ceylan,土耳其,风景长镜头；季节气候；静默人物；低照度空间,真人电影,适合分手的季节,2006
努里·比格·锡兰,Nuri Bilge Ceylan,土耳其,风景长镜头；季节气候；静默人物；低照度空间,真人电影,三只猴子,2008
努里·比格·锡兰,Nuri Bilge Ceylan,土耳其,风景长镜头；季节气候；静默人物；低照度空间,真人电影,小亚细亚往事,2011
努里·比格·锡兰,Nuri Bilge Ceylan,土耳其,风景长镜头；季节气候；静默人物；低照度空间,真人电影,冬眠,2014
努里·比格·锡兰,Nuri Bilge Ceylan,土耳其,风景长镜头；季节气候；静默人物；低照度空间,真人电影,野梨树,2018
努里·比格·锡兰,Nuri Bilge Ceylan,土耳其,风景长镜头；季节气候；静默人物；低照度空间,真人电影,枯草,2023
拉夫·迪亚兹,Lav Diaz,菲律宾,超长时长；静态远景；历史创伤；黑白影像倾向,真人电影,菲律宾家族的进化,2004
拉夫·迪亚兹,Lav Diaz,菲律宾,超长时长；静态远景；历史创伤；黑白影像倾向,真人电影,忧郁症,2008
拉夫·迪亚兹,Lav Diaz,菲律宾,超长时长；静态远景；历史创伤；黑白影像倾向,真人电影,北方，历史的终结,2013
拉夫·迪亚兹,Lav Diaz,菲律宾,超长时长；静态远景；历史创伤；黑白影像倾向,真人电影,今来古往,2014
拉夫·迪亚兹,Lav Diaz,菲律宾,超长时长；静态远景；历史创伤；黑白影像倾向,真人电影,离去的女人,2016
